epoch,train_loss,validation_loss,train_ap,validation_ap,learning_rate
1,0.3580686805501986,0.37650281147097114,0.5822176972562763,0.5723885093383212,0.0008
2,0.3095783235698807,0.34498588375998757,0.6405602912711348,0.6411010812709891,0.0008
3,0.2786308544075454,0.33820115040703763,0.6961407245299364,0.6827436300091286,0.0008
4,0.2505483554414159,0.3083055826209374,0.7543313661670956,0.7535415927294574,0.0008
5,0.23092121066975263,0.30068917624779457,0.779395073892054,0.7732763729068168,0.0008
6,0.21165541204674854,0.3126594433925976,0.8048468517596614,0.7868358693989562,0.0008
7,0.19988958545929691,0.32141936170361907,0.8251856758019932,0.7965039196092657,0.0008
8,0.16792525646583964,0.37340127436636716,0.8454310570681353,0.7996369052189133,0.0008
9,0.17244260598145028,0.3330468310687005,0.8608418205077785,0.8080073815715432,0.0008
10,0.13854812123440474,0.42466695237680463,0.8737582565967476,0.8117746156508135,0.0008
11,0.14221382839961874,0.38169758733747067,0.8815193102653213,0.815180298825746,0.0008
12,0.11287252739460636,0.4914159816081334,0.8999091717946034,0.8150502099847032,0.0008
13,0.12017670998378667,0.4600542247596204,0.9078546778092212,0.8096049813220834,0.0008
14,0.09540445891428917,0.6009397841588031,0.9193881732573399,0.7942186356369125,0.0008
15,0.08147150127701885,0.8043817271583179,0.9297707805197586,0.7952958720685922,0.0008
16,0.0757345556936779,0.6599080560784015,0.9353323597496404,0.8116885959668645,0.0008
