candidate_id,algorithm,parameters,train_ap,validation_ap,train_validation_gap,fit_time_seconds,selected
logistic_sanity,LogisticRegression,"{""C"": 1.0, ""class_weight"": {""0"": 0.5087919399296644, ""1"": 28.935135135135134}, ""max_iter"": 500, ""random_state"": 42, ""solver"": ""lbfgs""}",0.47404954759520357,0.47598801163228466,-0.001938464037081089,0.3916353109998454,False
hgb_01,HistGradientBoostingClassifier,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50, ""random_state"": 42}",0.9505723616419282,0.8938077937898976,0.056764567852030545,3.895365555999888,False
hgb_02,HistGradientBoostingClassifier,"{""l2_regularization"": 1.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",0.9999695842196737,0.9100214741075414,0.08994811011213233,4.741636389000632,True
hgb_03,HistGradientBoostingClassifier,"{""l2_regularization"": 2.0, ""learning_rate"": 0.05, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80, ""random_state"": 42}",0.9971636525649565,0.9070992094518491,0.09006444311310746,4.422648481999204,False
hgb_04,HistGradientBoostingClassifier,"{""l2_regularization"": 2.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 80, ""random_state"": 42}",0.986015636414256,0.8998478013610975,0.0861678350531585,4.3769632689982245,False
hgb_05,HistGradientBoostingClassifier,"{""l2_regularization"": 5.0, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 80, ""random_state"": 42}",0.998453847704845,0.9102941879733377,0.0881596597315073,4.781473574999836,False
