candidate_id,aggregate_hidden,fusion_hidden,dropout,learning_rate,trainable_parameters,best_epoch,epochs_run,train_ap,validation_ap,delta_vs_b,fit_time_seconds,selected
c1,16,32,0.4,0.0008,22235,12,17,0.8801274525274476,0.7940846864307242,0.07341089441753745,168.14227000900064,False
c2,32,64,0.4,0.0008,28315,11,16,0.8815193102653213,0.815180298825746,0.09450650681255934,134.26224822199947,True
c3,32,32,0.5,0.0008,23131,12,17,0.8823256662219071,0.8002411547890207,0.07956736277583398,179.39335438800117,False
