candidate_id,hidden_size,num_layers,dense_size,dropout,learning_rate,trainable_parameters,best_epoch,epochs_run,train_ap,validation_ap,train_validation_gap,fit_time_seconds,selected
b1,32,1,32,0.2,0.001,7675,9,14,0.8232848621422194,0.7180663743502662,0.1052184877919532,102.20501944299758,False
b2,64,1,32,0.2,0.001,19739,12,17,0.8769466671096345,0.6729170228265291,0.20402964428310544,139.5009756779982,False
b3,64,1,64,0.4,0.0008,25499,9,14,0.8368209639039391,0.7206737920131867,0.11614717189075241,121.65660053299871,True
